phase,cfg,bench,maxinst,sim_num_insn,sim_num_refs,sim_elapsed_time,sim_inst_rate,sim_cycle,sim_IPC,sim_CPI,il1.miss_rate,dl1.miss_rate,ul2.miss_rate
10000000,baseline,perl,20000000,5000000,1822362,1,5000000.0000,5458720,0.9160,1.0917,0.0739,0.0158,0.0157
10000000,baseline,go,20000000,5000000,909091,1,5000000.0000,2711707,1.8439,0.5423,0.0000,0.0626,0.0278
10000000,ghb_d1,perl,20000000,5000000,1822362,1,5000000.0000,5444226,0.9184,1.0888,0.0739,0.0158,0.0157
10000000,ghb_d1,go,20000000,5000000,909091,1,5000000.0000,2711707,1.8439,0.5423,0.0000,0.0626,0.0278
