phase,cfg,bench,maxinst,sim_num_insn,sim_num_refs,sim_elapsed_time,sim_inst_rate,sim_cycle,sim_IPC,sim_CPI,il1.miss_rate,dl1.miss_rate,ul2.miss_rate
100000,baseline,perl,20000000,20000001,7294676,5,4000000.2000,21679172,0.9225,1.0840,0.0739,0.0153,0.0124
100000,baseline,go,20000000,20000000,3700702,2,10000000.0000,10717572,1.8661,0.5359,0.0000,0.0606,0.0241
100000,ghb_d1,perl,20000000,20000001,7294676,4,5000000.2500,21632401,0.9245,1.0816,0.0739,0.0153,0.0124
100000,ghb_d1,go,20000000,20000000,3700702,3,6666666.6667,10717546,1.8661,0.5359,0.0000,0.0606,0.0240
