phase,cfg,bench,maxinst,sim_num_insn,sim_num_refs,sim_elapsed_time,sim_inst_rate,sim_cycle,sim_IPC,sim_CPI,il1.miss_rate,dl1.miss_rate,ul2.miss_rate
20000000,baseline,perl,20000000,1000000,353884,1,1000000.0000,1172393,0.8530,1.1724,0.0572,0.0331,0.1107
20000000,baseline,go,20000000,1000002,181819,1,1000002.0000,575196,1.7385,0.5752,0.0000,0.0626,0.1389
20000000,ghb_d1,perl,20000000,1000000,353884,1,1000000.0000,1169160,0.8553,1.1692,0.0572,0.0331,0.1105
20000000,ghb_d1,go,20000000,1000002,181819,1,1000002.0000,575196,1.7385,0.5752,0.0000,0.0626,0.1389
